FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,min value received,max value received,avg val received,min val sent,max val sent,avg val sent,total transactions,total bitcoin sent,total bitcoin received,total bitcoin balance
0,36.61,10707.77,382472.42,4598,20,0,12.802411,2.671095,0,9,0.022688,4619,104.3188828,53.4218965,-50.89698629
0,9900.12,375.48,20926.68,2,3,0.724148,4.813776,3.234908,4.1668,5.536916,4.851858,5,9.70371586,9.70472386,0.001008
0,69.46,629.44,8660.35,25,11,0.049,2.65,1.098115,0.009457,4.284785,0.482496,36,12.0623941,12.079266,0.016871896
0,1497.39,176.84,319828.05,213,5,0.11849,2,0.891098,0,0.7,0.040861,218,8.703392156,4.45548974,-4.247902416
0,0,0,496.62,1,1,2,2,2,1.99938,1.99938,1.99938,2,1.99938,2,0.00062
0,2570.59,3336.01,30572.7,8,3,0.1,40,16.7,0.1,40,18.634625,11,149.077,50.1,-98.977
0,32.45,12921.57,129540.15,10,10,1.000052,1.014875,1.004819,0.999088,1.01417,1.004055,20,10.04055439,10.04819041,0.007636018
0,3716.41,1448.09,385961.98,8,246,0.118061,81.386,3.381313,0.01,300,103.974875,254,831.799,831.8030477,0.004047714
0,0,12431.27,198900.25,0,16,0,1.002069,0.769166,0,0,0,17,0,12.30665958,12.30665958
0,9520.7,5776.32,78197.58,7,2,0.095,0.265159,0.180079,0,0.133441,0.037563,9,0.262941117,0.36015854,0.097217423
0,14106.66,3742.82,540061.9,32,24,0,1499.99958,77.125266,0,1100,102.312148,56,3273.988723,1851.006376,-1422.982347
0,757.91,11.08,25802.32,34,3,0.091844,1,0.530615,0,0.933444,0.044268,38,1.505102958,1.591844363,0.086741405
0,3.13,4923.24,280803.43,57,57,0.016037,0.277689,0.204013,0.015617,0.277269,0.203593,114,11.6048114,11.6287514,0.023940002
0,27681.45,11171.03,842599.05,26,11,0.09,34.94,16.564688,0,34.9,9.896423,37,257.307,182.2115661,-75.09543387
0,770.29,3.82,2318.5,3,2,7.772,19.995,13.8835,3.7,20.082772,9.255226,5,27.765677,27.767,0.001323
0,163.78,1.11,329.78,2,2,44.048882,56.951118,50.5,0.61,100.388974,50.499487,4,100.9989738,101,0.001026218
0,0,6324.45,113840.02,0,18,0,12.782766,5.662421,0,0,0,19,0,101.9235724,101.9235724
0,725.77,41108.66,292841.02,7,7,0,17.949074,8.407243,2,30.950276,22.441764,14,157.0923505,58.85070376,-98.24164672
0,91.14,64.3,712.88,5,4,0.5,5,2.1875,0.377203,2.851287,1.749551,9,8.747754943,8.75,0.002245057
0,2477.34,6928.28,892782.2,8,126,0.013556,0.501254,0.342666,0.1,2,1.2625,134,10.1,43.17587621,33.07587621
0,0,13339.9,226778.27,0,17,0,11.291416,4.860215,0,0,0,18,0,82.62366163,82.62366163
0,0,0,30.65,1,1,4.999,4.999,4.999,4.99774,4.99774,4.99774,2,4.99774,4.999,0.00126
0,1797.42,60933.08,330187.83,82,3,0,30,11.666667,0,30,0.760256,85,62.341,35,-27.341
0,0,0,68.87,1,1,0.547649,0.547649,0.547649,0.546389,0.546389,0.546389,2,0.54638892,0.54764892,0.00126
0,155.22,112602.93,338429.65,4,3,0,2.337156,1.512385,2,2.379635,2.104909,7,8.419634776,4.5371564,-3.882478376
0,14626.26,6594.93,955278,59,14,0.00979,1100,167.979641,0,500,43.052269,73,2540.083853,2351.714972,-188.368881
0,0,5498.63,291427.53,0,53,0,1.002204,0.504895,0,0,0,54,0,26.75944516,26.75944516
0,3.33,51068.75,561789.58,10,11,0.022663,20.799,5.11114,0.923126,20.797915,5.621492,21,56.21491815,56.22253457,0.00761642
0,1128.56,0,2257.12,2,1,1.747981,1.747981,1.747981,0,0,0,3,0,1.74798122,1.74798122
0,2152.95,680.22,22889.93,10,2,0.05,0.1,0.075,0,0.060734,0.011073,12,0.110734264,0.15,0.039265736
0,0,648.26,449889.15,0,694,0,22,1.618731,0,0,0,695,0,1123.399095,1123.399095
0,45.91,58.88,450106.65,5970,2989,0,3140.99958,74.622817,0,3900,37.845721,8959,225938.9558,223047.6014,-2891.354427
0,0,0,4.87,1,1,0.003,0.003,0.003,0,0,0,2,0,0.003,0.003
0,1067.84,128.81,636162.82,68,4375,0.443993,3.602495,1.055731,0,520.812168,67.923395,4443,4618.790832,4618.823828,0.03299662
0,1051.87,85496.6,345142.02,3,4,0,3.508474,1.395953,0.007,5.544,3.683667,7,11.051,5.5838107,-5.4671893
0,2.12,0.92,21206.93,9996,4,1,20,11,0,0,0,10003,0,44,44
0,17441.04,1245.91,160707.1,9,3,1,49.995,18.996667,0,20,6.226376,12,56.03738689,56.99,0.952613114
0,45561.42,26284.49,802574.4,13,8,0,45.4,21.925,0,99,20.327692,21,264.26,175.4,-88.86
0,379.78,56424.63,339687.12,3,6,0,1.515068,0.888941,4.5,4.5,4.5,9,13.5,5.333649,-8.166351
0,1478.05,51541.26,355017.02,33,6,0,51,9.803306,0,20,2.307983,39,76.16345259,58.81983438,-17.34361821
0,164.22,0,328.45,2,1,101,101,101,1.335323,99.663651,50.499487,3,100.9989738,101,0.001026218
0,1790.44,450.56,13445.97,6,6,0.2,10,2.615514,0.199528,9.999545,2.614933,12,15.68959511,15.69308421,0.003489099
0,803.95,112925.21,340383.53,2,3,0,6.995,2.333333,6.955496,6.956,6.955748,5,13.911496,7,-6.911496
0,18649.44,15420.31,266825.07,11,4,0.195,4,1.67375,0,1.9,0.759219,15,8.351405033,6.695,-1.656405033
0,65.85,32.24,204236.48,2217,1807,0,799.99874,18.736369,0,1100,15.276167,4024,33867.26324,33856.6182,-10.64504551
0,181.7,56819.72,286279.03,12,5,0,174.995,63.085,0.1,225,59.516667,17,714.2,315.425,-398.775
0,23359.72,27049.27,1169229.5,35,13,0,972.434,182.498725,0,500,85.766674,48,3001.833603,2372.483424,-629.3501786
0,20827.93,0,186707.1,8,1,10,10,10,1.621938,26,12.688992,9,101.5119377,10,-91.51193767
0,4183.18,1470.01,962956.75,181,140,0.0731,117.7,4.007761,0,240,3.288313,321,595.1846,561.0865,-34.0981
